현토,시제,건수,비율
하시니,과거,57,26.26728110599078
하시니,현재,95,43.77880184331797
하시니,미래/추측,48,22.119815668202765
하시니,의문,17,7.834101382488479
니잇고,과거,12,22.22222222222222
니잇고,현재,15,27.77777777777778
니잇고,미래/추측,7,12.962962962962962
니잇고,의문,20,37.03703703703704
아하니라,과거,12,16.666666666666664
아하니라,미래/추측,21,29.166666666666668
아하니라,의문,20,27.77777777777778
아하니라,현재,19,26.38888888888889
어다,현재,33,47.14285714285714
어다,과거,15,21.428571428571427
어다,미래/추측,21,30.0
어다,의문,1,1.4285714285714286
라하시니라,과거,26,28.57142857142857
라하시니라,현재,35,38.46153846153847
라하시니라,미래/추측,27,29.67032967032967
라하시니라,의문,3,3.296703296703297
리잇고,미래/추측,26,29.213483146067414
리잇고,의문,29,32.58426966292135
리잇고,과거,12,13.48314606741573
리잇고,현재,22,24.719101123595504
는,현재,34,47.22222222222222
는,미래/추측,11,15.277777777777779
는,의문,4,5.555555555555555
는,과거,23,31.944444444444443
어니와,과거,27,21.09375
어니와,현재,58,45.3125
어니와,미래/추측,30,23.4375
어니와,의문,13,10.15625
하면,과거,7,13.20754716981132
하면,현재,33,62.264150943396224
하면,미래/추측,10,18.867924528301888
하면,의문,3,5.660377358490567
호되,과거,53,50.476190476190474
호되,현재,43,40.95238095238095
호되,미래/추측,6,5.714285714285714
호되,의문,3,2.857142857142857
릿가,과거,34,18.784530386740332
릿가,현재,44,24.30939226519337
릿가,미래/추측,50,27.624309392265197
릿가,의문,53,29.2817679558011
ㄴ저,과거,44,29.53020134228188
ㄴ저,현재,50,33.557046979865774
ㄴ저,미래/추측,39,26.174496644295303
ㄴ저,의문,16,10.738255033557047
저,과거,41,27.516778523489933
저,현재,63,42.281879194630875
저,미래/추측,34,22.818791946308725
저,의문,11,7.38255033557047
하나니라,과거,14,18.91891891891892
하나니라,현재,41,55.4054054054054
하나니라,미래/추측,18,24.324324324324326
하나니라,의문,1,1.3513513513513513
