x,y,boundary_type,cluster_id
9.231549,-3.7909102,Sentence,2
8.140569,-4.541091,Sentence,1
6.528114,-0.74891096,Sentence,0
9.545164,-4.93398,Sentence,2
9.156028,-5.303446,Sentence,2
8.3031,-2.801733,Sentence,1
8.9022665,-4.9632444,Sentence,2
7.102166,-0.22074345,Sentence,0
7.357507,-4.1541595,Sentence,1
8.536376,-4.7002525,Sentence,1
8.591686,-3.9782531,Sentence,1
5.8361144,-1.0559839,Sentence,0
8.927369,-3.8449996,Sentence,2
9.172698,-5.2673736,Sentence,2
6.170417,-1.1037059,Sentence,0
5.2718806,-1.1946054,Sentence,2
10.350237,-4.5441937,Sentence,2
6.3533335,-0.3776676,Sentence,0
7.97592,-4.64816,Sentence,1
11.319143,-4.427715,Sentence,0
6.29326,-4.968154,Sentence,2
6.9917955,-2.1385639,Sentence,0
6.975532,-4.469783,Sentence,2
7.8324265,-4.1670036,Sentence,1
8.654595,-3.2432756,Sentence,1
6.6382685,-2.2653008,Sentence,0
8.031965,-4.267741,Sentence,1
9.421851,-3.9980142,Sentence,2
6.245078,-2.4661267,Sentence,0
9.919369,-2.5024297,Sentence,0
8.175292,-5.782942,Sentence,2
10.432802,-1.864815,Sentence,1
6.239415,-1.7049627,Sentence,0
7.674524,-5.279595,Sentence,2
8.814615,-4.61226,Sentence,2
10.2794695,-1.056461,Sentence,1
8.591356,-3.6136696,Sentence,1
8.039372,-3.5901227,Sentence,1
7.8731947,-4.7332225,Sentence,1
9.207923,-4.00181,Sentence,0
7.515745,-4.8958564,Sentence,2
6.380674,-2.4658144,Sentence,0
8.578369,-3.5466533,Sentence,1
9.683372,-5.090563,Sentence,2
6.7991776,8.025098,Sentence,0
10.020522,0.5029646,Sentence,0
8.05809,-4.2440724,Sentence,2
9.925932,-1.88888,Sentence,1
10.609053,-1.3148267,Sentence,0
7.932915,-1.7898152,Sentence,0
6.798881,8.026972,Sentence,0
6.874116,-2.2716544,Sentence,0
7.797641,0.06546825,Sentence,0
11.450765,-4.3892145,Sentence,2
7.640217,-3.8822114,Sentence,1
6.4773755,-2.9993577,Sentence,0
7.248936,-4.3603826,Sentence,1
8.818082,-4.352528,Sentence,2
6.421569,-3.3262646,Sentence,1
8.2237425,-1.6195883,Sentence,1
10.169647,-2.0143538,Sentence,1
8.802904,-4.585773,Sentence,2
7.3048577,-1.956057,Sentence,0
9.5714655,-1.152536,Sentence,1
10.704893,-1.585974,Sentence,0
8.078961,-4.544658,Sentence,2
7.472653,-4.038941,Sentence,1
7.96571,-4.723582,Sentence,1
7.870519,-5.0484734,Sentence,1
7.6897354,-4.0569763,Sentence,1
8.251462,-3.3092604,Sentence,1
7.0415688,-4.176571,Sentence,1
9.139722,-2.567517,Sentence,1
8.687817,-5.364755,Sentence,2
5.978238,-0.29752246,Sentence,0
7.249171,-3.7463655,Sentence,1
9.1189785,-3.9150314,Sentence,1
10.3697605,-1.5524126,Sentence,0
6.3629475,-2.5712903,Sentence,0
10.189761,-0.09293439,Sentence,1
9.989902,-5.2654834,Sentence,2
7.1245117,-4.7130647,Sentence,1
7.9558415,-3.8926573,Sentence,1
8.610263,-4.1334705,Sentence,1
7.161967,0.7090567,Sentence,0
10.739896,-1.8762265,Sentence,0
9.059157,-5.352327,Sentence,2
7.300316,-0.90116423,Sentence,0
9.311855,-5.334656,Sentence,2
4.5244856,-1.4212246,Sentence,2
7.300115,-0.0028171449,Sentence,0
7.314702,-3.949972,Sentence,1
4.2786145,-2.5229335,Sentence,0
4.696339,-0.9712449,Sentence,2
7.4169755,-3.752279,Sentence,1
4.4639277,-2.677055,Sentence,1
8.868405,-3.1484804,Sentence,1
7.9670777,-3.6623979,Sentence,1
6.799761,-3.7391596,Sentence,1
9.812151,-4.75035,Sentence,2
9.19572,-5.2435813,Sentence,2
7.842916,-4.2642813,Sentence,1
8.245735,-4.4186997,Sentence,2
5.9899125,-0.58481497,Sentence,0
8.360239,-3.1534548,Sentence,1
8.514958,-4.567817,Sentence,1
6.6237,-4.019542,Sentence,1
9.912974,-2.4123316,Sentence,1
3.5019145,-1.2845042,Sentence,0
8.134126,-3.5941875,Sentence,1
6.992212,-2.7986536,Sentence,1
10.173607,-4.423046,Sentence,2
9.044489,-3.3546054,Sentence,0
8.574844,-4.461349,Sentence,2
7.689514,-5.1072707,Sentence,1
7.5638003,-5.087383,Sentence,2
10.185811,-1.7882588,Sentence,0
6.5913773,-4.122121,Sentence,1
9.060132,-1.7431002,Sentence,0
11.537673,-4.0436177,Sentence,0
8.749417,-5.231408,Sentence,2
8.651091,-5.551171,Sentence,2
6.37291,-0.3437438,Sentence,0
9.522489,-1.3866258,Sentence,0
8.006869,-4.9179277,Sentence,1
6.957802,-2.8450918,Sentence,2
10.511612,-1.7281259,Sentence,0
9.266599,-0.87866664,Sentence,0
7.5000105,-4.412766,Sentence,1
8.320987,-3.869539,Sentence,1
6.469944,-4.281465,Sentence,1
9.455816,-5.4617147,Sentence,2
8.699359,-4.605284,Sentence,2
8.70211,-5.552737,Sentence,2
6.8583446,-2.793187,Sentence,1
5.335699,-0.097974226,Sentence,0
7.176904,-3.853159,Sentence,1
6.9888496,-2.1948876,Sentence,0
6.886062,-3.6301565,Sentence,1
7.7351995,-4.3679657,Sentence,1
8.471017,-4.534487,Sentence,1
8.697542,-4.2226396,Sentence,2
6.974027,-0.58102506,Sentence,0
11.502905,-3.5472865,Sentence,0
8.893034,-5.1561284,Sentence,2
6.269334,-0.85888803,Sentence,0
7.8310666,-2.809098,Sentence,1
6.3669567,-0.33685574,Sentence,0
6.316437,-4.1637397,Sentence,1
8.801747,-3.882462,Sentence,2
7.4205027,-3.4286163,Sentence,1
8.648272,-5.16712,Sentence,2
10.249268,0.070627235,Sentence,0
6.9919534,-3.6882133,Sentence,1
8.649092,-4.1073294,Sentence,2
8.295291,-3.812843,Sentence,1
7.2946143,0.38010857,Sentence,0
6.0718656,0.27607864,Sentence,0
9.175665,-1.7707764,Sentence,1
11.296546,-4.196537,Sentence,2
4.2838306,-1.4277523,Sentence,0
6.4252477,-3.82718,Sentence,1
10.331787,-4.9239893,Sentence,2
6.414147,-2.4858284,Sentence,0
8.963896,-1.7443475,Sentence,0
9.251535,-2.8443203,Sentence,2
7.4700108,-2.094788,Sentence,1
9.684755,-2.2204273,Sentence,1
7.0950217,-1.1037279,Sentence,0
6.5443745,-0.18081094,Sentence,0
6.4791183,-2.2829435,Sentence,0
10.199348,-5.1563563,Sentence,2
9.676418,-4.7774425,Sentence,2
6.2577524,-3.6699893,Sentence,1
9.409984,-4.4603596,Sentence,2
8.289689,-3.4850929,Sentence,1
8.980581,-2.6187453,Sentence,1
8.358241,-3.884882,Sentence,1
7.509909,-0.7780738,Sentence,0
10.559308,-4.9785075,Sentence,2
8.953037,-4.5513597,Sentence,2
6.4601526,-2.7192745,Sentence,0
7.031801,-4.298379,Sentence,1
6.5703926,-1.4562395,Sentence,0
9.254354,-3.555045,Sentence,2
6.8015647,8.023105,Sentence,0
7.055447,-2.6187115,Sentence,0
8.094531,-0.82295966,Sentence,0
7.6116147,-0.81070125,Sentence,0
5.940545,-2.0031958,Sentence,2
8.970512,-5.1803226,Sentence,2
9.173996,-2.8530796,Sentence,1
6.1700263,-3.6105201,Sentence,1
6.3397336,-4.1458035,Sentence,2
6.751724,-3.0132763,Sentence,1
7.6072993,-4.0367613,Sentence,1
8.34617,-4.8091426,Sentence,2
6.7815194,-4.3876996,Sentence,1
10.282702,-1.4810431,Sentence,0
7.0077167,-1.7774554,Sentence,0
5.919581,-3.2629237,Sentence,2
