x,y,boundary_type,cluster_id,z
11.760545,-0.9586843,Sentence,3,11.304593
14.147029,13.428955,Sentence,1,10.410499
12.038149,16.500536,Sentence,2,10.378289
13.176268,16.71397,Sentence,2,10.056056
13.360137,16.63876,Sentence,2,8.958844
13.231625,17.068766,Sentence,2,10.541506
12.022938,15.800921,Sentence,0,8.963482
12.849352,15.7060175,Sentence,2,9.571621
15.26756,14.168352,Sentence,1,9.784153
12.496862,16.468224,Sentence,2,9.74997
12.918559,15.53956,Sentence,2,8.890666
12.177136,15.633216,Sentence,0,8.902465
13.833704,14.709697,Sentence,1,9.015428
12.399124,15.1013975,Sentence,0,8.330863
12.453555,15.216651,Sentence,0,8.362494
12.524287,16.183681,Sentence,2,10.418467
13.006281,14.244291,Sentence,1,9.565565
13.729715,16.216951,Sentence,0,8.989716
14.079504,14.336613,Sentence,2,11.187567
12.566874,16.733795,Sentence,2,10.207863
12.325894,16.6026,Sentence,2,11.004398
15.319136,11.432396,Sentence,1,7.9363594
12.48707,16.893124,Sentence,2,10.157934
13.770811,16.438972,Sentence,2,9.839108
14.0782795,12.087164,Sentence,1,7.7607903
11.762227,16.182419,Sentence,0,10.503235
14.558614,14.949408,Sentence,1,9.738581
12.189483,13.1970415,Sentence,0,8.607138
13.48665,12.645357,Sentence,1,8.1109915
13.221625,15.065544,Sentence,1,9.588613
15.239691,14.021557,Sentence,3,9.797217
11.743395,12.248625,Sentence,1,8.796546
13.267743,14.913635,Sentence,0,8.982688
13.649733,16.862885,Sentence,2,9.562565
13.23245,16.887657,Sentence,2,9.658528
12.25347,15.949507,Sentence,0,8.91979
