marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
하오니,91,88,33,p3_c3:8;p3_c12:7;p0_c2:6;p0_c4:6;p9_c5:6,-0.030012613,0.55216813,p3_c3,pca,parent_child,none
하신대,88,86,40,p3_c1:8;p2_c12:6;p2_c13:5;p11_c9:4;p14_c2:4,0.22697164,-0.12890974,p3_c1,pca,parent_child,none
언마는,87,86,47,p3_c8:6;p2_c1:5;p9_c0:5;p13_c2:4;p4_c5:4,-0.3014162,-0.007848313,p3_c8,pca,parent_child,none
리오마는,86,84,45,p9_c4:9;p0_c3:6;p9_c15:5;p9_c0:4;p0_c2:3,-0.22418849,0.08439241,p9_c4,pca,parent_child,none
호라,86,83,52,p14_c12:4;p5_c14:4;p5_c9:4;p11_c10:3;p12_c11:3,0.2785191,0.02017882,p14_c12,pca,parent_child,none
이로라,85,84,52,p0_c9:4;p3_c3:4;p11_c9:3;p14_c7:3;p5_c14:3,-0.03096892,0.18018945,p0_c9,pca,parent_child,none
이라하야늘,84,83,35,p11_c10:7;p11_c8:7;p11_c2:6;p14_c8:6;p11_c4:5,0.42962468,-0.019034144,p11_c10,pca,parent_child,none
로이다,83,80,46,p0_c4:4;p12_c10:4;p3_c3:4;p6_c1:4;p6_c7:4,0.20316055,0.2353046,p0_c4,pca,parent_child,none
일새니이다,83,83,37,p9_c5:12;p0_c4:6;p0_c5:6;p0_c3:5;p12_c4:4,-0.12066237,0.56762844,p9_c5,pca,parent_child,none
라하더니,75,74,34,p11_c10:8;p11_c8:6;p11_c3:5;p11_c9:5;p14_c2:4,0.4674962,-0.083008684,p11_c10,pca,parent_child,none
어시늘,74,72,45,p2_c12:5;p3_c1:5;p3_c14:4;p11_c10:3;p3_c12:3,0.013566818,-0.05121546,p2_c12,pca,parent_child,none
리오하고,73,73,31,p11_c10:16;p11_c2:6;p5_c6:5;p14_c8:4;p3_c12:4,0.40978527,-0.0586852,p11_c10,pca,parent_child,none
일새니라,73,72,47,p1_c5:6;p9_c0:5;p1_c10:4;p12_c10:3;p13_c14:3,-0.1090328,-0.13723148,p1_c5,pca,parent_child,none
리잇고,71,71,30,p3_c12:11;p0_c3:9;p9_c8:9;p9_c7:6;p11_c4:3,0.052488532,0.32748374,p3_c12,pca,parent_child,none
이로대,71,70,42,p11_c10:5;p3_c12:4;p3_c7:4;p9_c0:4;p14_c12:3,0.18560576,0.011847003,p11_c10,pca,parent_child,none
론,69,66,38,p3_c12:7;p14_c8:4;p3_c3:4;p11_c15:3;p11_c8:3,-0.07134822,0.1348867,p3_c12,pca,parent_child,none
하라하니,69,69,38,p11_c10:7;p11_c3:5;p11_c2:4;p3_c12:4;p11_c15:3,0.43909705,-0.107391044,p11_c10,pca,parent_child,none
인대,68,64,45,p11_c14:5;p0_c0:4;p7_c8:4;p3_c1:3;p0_c10:2,0.07817495,0.13035415,p11_c14,pca,parent_child,none
하더라,67,66,37,p11_c10:7;p11_c4:6;p5_c1:4;p14_c1:3;p2_c13:3,0.4491743,-0.1072074,p11_c10,pca,parent_child,none
