hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
自,잇가,5,7614,647,-1.428
三,리오,11,5380,2019,-1.431
于,하시니,3,4860,611,-1.434
自,이,103,7614,13390,-1.434
使,라하니라,5,7315,678,-1.437
年,라하여,4,6075,654,-1.439
曰,라,433,14316,30042,-1.439
一,호대,6,7673,778,-1.442
又,라도,6,4202,1421,-1.442
焉,라하여,2,3049,654,-1.445
乎,니이다,19,3952,4802,-1.447
焉,아,9,3049,2954,-1.45
用,에,91,4385,20869,-1.457
國,하노라,4,5416,743,-1.458
書,니,37,4799,7760,-1.459
一,한대,19,7673,2501,-1.464
四,로다,3,3183,952,-1.464
太,하라,3,3822,794,-1.466
晉,러라,4,3243,1251,-1.47
世,호대,3,3916,778,-1.471
非,하여,164,4326,38494,-1.471
行,로,36,4901,7466,-1.473
今,호되,5,5115,995,-1.475
已,하라,3,3851,794,-1.477
軍,오,7,3184,2241,-1.477
臣,로다,6,6439,952,-1.48
五,어늘,16,3226,5066,-1.48
天,한대,22,9000,2501,-1.482
無,하여는,7,9706,738,-1.482
爲,에,467,22901,20869,-1.483
三,로다,5,5380,952,-1.484
乃,도,2,3432,599,-1.489
時,는,84,4223,20443,-1.489
謂,면,42,5258,8230,-1.492
下,오,23,10574,2241,-1.492
相,오,10,4601,2241,-1.493
五,하며,11,3226,3517,-1.494
民,에,73,3618,20869,-1.498
時,라하고,5,4223,1225,-1.498
將,호대,4,5323,778,-1.499
世,하라,3,3916,794,-1.501
四,니라,13,3183,4236,-1.502
未,와,10,4332,2395,-1.502
國,한대,13,5416,2501,-1.509
師,를,10,3481,2996,-1.51
士,호대,3,4026,778,-1.511
師,니이다,16,3481,4802,-1.512
侯,하노라,3,4218,743,-1.512
天,라가,12,9000,1394,-1.513
則,에,191,9567,20869,-1.513
公,리오,22,11407,2019,-1.515
晉,잇가,2,3243,647,-1.518
兵,며,3,4184,752,-1.518
欲,하다,45,3821,12378,-1.521
侯,니라,17,4218,4236,-1.521
皆,와,13,5714,2395,-1.523
出,오,9,4231,2241,-1.524
此,하고,221,8103,28730,-1.524
公,잇가,7,11407,647,-1.526
道,하다,48,4092,12378,-1.527
兵,리오,8,4184,2019,-1.528
年,하고,165,6075,28730,-1.53
見,로,31,4395,7466,-1.531
五,아,9,3226,2954,-1.532
可,하여,336,9245,38494,-1.532
使,에,144,7315,20869,-1.533
使,리라,6,7315,872,-1.537
已,는,74,3851,20443,-1.539
非,하여는,3,4326,738,-1.539
亦,라가,6,4602,1394,-1.546
必,를,11,3926,2996,-1.546
書,니라,19,4799,4236,-1.547
月,하니이다,3,4062,791,-1.548
年,니라,24,6075,4236,-1.55
謂,어든,4,5258,817,-1.552
亦,로,32,4602,7466,-1.552
軍,니,23,3184,7760,-1.553
州,어든,3,3948,817,-1.554
未,오,9,4332,2241,-1.558
道,하니이다,3,4092,791,-1.559
年,라도,8,6075,1421,-1.559
使,하여는,5,7315,738,-1.56
晉,를,9,3243,2996,-1.56
爲,이,284,22901,13390,-1.56
若,로다,3,3413,952,-1.564
皆,하면,6,5714,1137,-1.564
兵,호대,3,4184,778,-1.567
年,한대,14,6075,2501,-1.567
於,하라,13,17777,794,-1.568
月,니,29,4062,7760,-1.569
十,는,108,5743,20443,-1.57
世,한대,9,3916,2501,-1.571
不,로,250,36502,7466,-1.574
書,아,13,4799,2954,-1.574
于,리오,9,4860,2019,-1.574
晉,리오,6,3243,2019,-1.575
天,하다,102,9000,12378,-1.576
軍,니이다,14,3184,4802,-1.576
文,오,9,4388,2241,-1.577
時,호대,3,4223,778,-1.58
相,로다,4,4601,952,-1.58
後,잇가,3,5088,647,-1.583
出,호대,3,4231,778,-1.583
如,이,71,5821,13390,-1.584
諸,니이다,16,3669,4802,-1.588
太,리오,7,3822,2019,-1.59
十,한대,13,5743,2501,-1.593
官,엔,2,3125,708,-1.595
王,라하니라,5,8165,678,-1.596
欲,리라,3,3821,872,-1.601
公,오,23,11407,2241,-1.602
王,어든,6,8165,817,-1.602
未,로,29,4332,7466,-1.607
吾,할새,3,3686,908,-1.607
若,라하여,2,3413,654,-1.608
于,는,89,4860,20443,-1.608
夫,호대,4,5744,778,-1.609
下,로다,9,10574,952,-1.611
二,라하여,3,5144,654,-1.614
及,오,8,4008,2241,-1.616
未,호대,3,4332,778,-1.617
日,도,2,3756,599,-1.619
四,엔,2,3183,708,-1.621
軍,엔,2,3184,708,-1.622
必,로,26,3926,7466,-1.622
之,호대,48,69570,778,-1.622
可,하시니,5,9245,611,-1.625
四,라도,4,3183,1421,-1.626
又,는,76,4202,20443,-1.626
無,로,64,9706,7466,-1.628
焉,는,55,3049,20443,-1.63
月,로되,7,4062,1954,-1.63
也,러니,77,26664,3273,-1.63
王,러라,9,8165,1251,-1.632
知,하여는,4,6165,738,-1.635
可,하여는,6,9245,738,-1.635
兵,어든,3,4184,817,-1.638
于,니,33,4860,7760,-1.642
欲,도,2,3821,599,-1.644
太,도,2,3822,599,-1.644
于,엔,3,4860,708,-1.647
諸,러라,4,3669,1251,-1.648
王,아,21,8165,2954,-1.649
有,하다,175,16242,12378,-1.649
侯,어든,3,4218,817,-1.649
有,엔,10,16242,708,-1.651
使,는,130,7315,20443,-1.651
亦,한대,10,4602,2501,-1.652
晉,라도,4,3243,1421,-1.653
二,리오,9,5144,2019,-1.656
知,를,16,6165,2996,-1.656
軍,나,14,3184,5073,-1.656
乃,리오,6,3432,2019,-1.657
出,이,49,4231,13390,-1.659
太,니라,14,3822,4236,-1.659
而,호대,24,35709,778,-1.66
是,하다,78,7292,12378,-1.66
是,하라,5,7292,794,-1.661
皆,라도,7,5714,1421,-1.663
能,하시니,3,5699,611,-1.664
將,라하여,3,5323,654,-1.664
文,하라,3,4388,794,-1.665
于,와,10,4860,2395,-1.668
未,하다,46,4332,12378,-1.67
年,니이다,25,6075,4802,-1.672
皆,어든,4,5714,817,-1.672
天,호대,6,9000,778,-1.672
可,하면,9,9245,1137,-1.673
師,리오,6,3481,2019,-1.677
可,라가,11,9245,1394,-1.678
